user_id,date,item
user001,2024-01-01,milk
user001,2024-01-01,bread
user001,2024-01-01,eggs
user001,2024-01-01,butter
user002,2024-01-01,milk
user002,2024-01-01,bread
user002,2024-01-01,coffee
user002,2024-01-01,sugar
user003,2024-01-02,milk
user003,2024-01-02,eggs
user003,2024-01-02,butter
user003,2024-01-02,cheese
user004,2024-01-02,bread
user004,2024-01-02,eggs
user004,2024-01-02,cheese
user004,2024-01-02,ham
user005,2024-01-03,milk
user005,2024-01-03,bread
user005,2024-01-03,eggs
user005,2024-01-03,butter
user005,2024-01-03,orange_juice
user006,2024-01-03,coffee
user006,2024-01-03,sugar
user006,2024-01-03,cream
user006,2024-01-03,donuts
user007,2024-01-04,milk
user007,2024-01-04,cereal
user007,2024-01-04,banana
user007,2024-01-04,strawberries
user008,2024-01-04,bread
user008,2024-01-04,cheese
user008,2024-01-04,ham
user008,2024-01-04,lettuce
user008,2024-01-04,tomato
user009,2024-01-05,milk
user009,2024-01-05,bread
user009,2024-01-05,butter
user009,2024-01-05,jam
user010,2024-01-05,eggs
user010,2024-01-05,bacon
user010,2024-01-05,toast
user010,2024-01-05,sausage
user011,2024-01-06,milk
user011,2024-01-06,cookies
user011,2024-01-06,chocolate
user011,2024-01-06,ice_cream
user012,2024-01-06,bread
user012,2024-01-06,eggs
user012,2024-01-06,milk
user012,2024-01-06,cheese
user013,2024-01-07,coffee
user013,2024-01-07,milk
user013,2024-01-07,sugar
user013,2024-01-07,cream
user014,2024-01-07,bread
user014,2024-01-07,butter
user014,2024-01-07,jam
user014,2024-01-07,peanut_butter
user015,2024-01-08,milk
user015,2024-01-08,cereal
user015,2024-01-08,strawberries
user015,2024-01-08,banana
user016,2024-01-08,eggs
user016,2024-01-08,cheese
user016,2024-01-08,mushrooms
user016,2024-01-08,onions
user017,2024-01-09,milk
user017,2024-01-09,bread
user017,2024-01-09,eggs
user017,2024-01-09,orange_juice
user017,2024-01-09,bacon
user018,2024-01-09,coffee
user018,2024-01-09,cream
user018,2024-01-09,donuts
user018,2024-01-09,bagels
user019,2024-01-10,milk
user019,2024-01-10,bread
user019,2024-01-10,cheese
user019,2024-01-10,yogurt
user020,2024-01-10,eggs
user020,2024-01-10,bacon
user020,2024-01-10,sausage
user020,2024-01-10,pancakes
user021,2024-01-11,milk
user021,2024-01-11,bread
user021,2024-01-11,eggs
user021,2024-01-11,butter
user022,2024-01-11,coffee
user022,2024-01-11,milk
user022,2024-01-11,sugar
user022,2024-01-11,muffins
user023,2024-01-12,bread
user023,2024-01-12,cheese
user023,2024-01-12,ham
user023,2024-01-12,turkey
user024,2024-01-12,milk
user024,2024-01-12,cereal
user024,2024-01-12,banana
user024,2024-01-12,blueberries
user025,2024-01-13,eggs
user025,2024-01-13,bacon
user025,2024-01-13,toast
user025,2024-01-13,hash_browns
user026,2024-01-13,milk
user026,2024-01-13,bread
user026,2024-01-13,butter
user026,2024-01-13,honey
user027,2024-01-14,coffee
user027,2024-01-14,milk
user027,2024-01-14,sugar
user027,2024-01-14,cream
user028,2024-01-14,bread
user028,2024-01-14,eggs
user028,2024-01-14,cheese
user028,2024-01-14,avocado
user029,2024-01-15,milk
user029,2024-01-15,cereal
user029,2024-01-15,strawberries
user029,2024-01-15,granola
